a,x0,x1,x2
-13,60.50115,-2.431939062,1.283665723
-12,-509.9124,-68.60405,-1.58655
-11,9.861463999,5.784562,1.063426
-10,5.285103756,5.121865025,1.039566867
-9,19.97812025,7.353631546,1.123351861
-8,-15.56737423,1.845720066,0.913033033
-7,-21.11730353,0.941101232,0.877022874
-6,3.661629596,5.090778333,1.045789646
-5,0.685884915,4.563956582,1.023439633
-4,-3.48390875,3.799725296,0.990192109
-3,-5.149765052,3.474460434,0.975410358
-2,-3.846185175,3.740419525,0.98784776
-1,-3.213777599,3.879481162,0.994655224
0,-2.278142233,4.097198418,1.005661205
1,-2.216681041,4.112891134,1.006493925
2,-2.59457569,4.008826612,1.000769771
3,-2.267969266,4.110472438,1.006659393
4,-2.561840462,4.008610879,1.000515127
5,-2.523275765,4.024572171,1.001533778
6,-2.695396252,3.939896371,0.995880034
7,-2.720252509,3.923258815,0.994698192
8,-2.686496095,3.955830855,0.997133347
9,-2.682370857,3.966168476,0.997961366
10,-2.67695586,3.932901451,0.995136072
11,-2.668888615,3.924359209,0.994351715
12,-2.730736966,3.961607226,0.998012887
13,-2.736505261,3.96377234,0.998245798
14,-2.840981748,3.992602254,1.001608678
15,-2.833216701,3.991047483,1.001406767
