a,x0,x1,x2
-12,9.8614634255,5.7845619165,1.063425997
-11,5.2851035502,5.1218649946,1.0395668664
-10,19.9781201411,7.35363153,1.1233518607
-9,-15.5673742336,1.8457200663,0.9130330332
-8,-21.1173035221,0.9411012341,0.8770228746
-7,3.6616296107,5.0907783373,1.0457896467
-6,0.6858849294,4.5639565858,1.023439633
-5,-3.483908739,3.7997252988,0.9901921088
-4,-5.1497650427,3.474460437,0.9754103584
-3,-3.8461851688,3.7404195275,0.9878477602
-2,-3.213777594,3.8794811641,0.9946552242
-1,-2.27814223,4.0971984195,1.0056612055
0,-2.216681039,4.1128911352,1.0064939256
1,-2.5945756899,4.0088266128,1.0007697708
2,-2.2679692655,4.1104724393,1.0066593928
3,-2.5618404624,4.0086108798,1.0005151268
4,-2.523275766,4.0245721718,1.0015337779
5,-2.6953962538,3.9398963717,0.9958800343
6,-2.7202525111,3.923258815,0.994698192
7,-2.6864960971,3.9558308549,0.9971333474
8,-2.6823708584,3.9661684759,0.9979613662
9,-2.6769558621,3.9329014511,0.9951360724
10,-2.6688886178,3.9243592086,0.9943517154
11,-2.7307369673,3.9616072262,0.9980128872
12,-2.7365052624,3.9637723401,0.9982457985
13,-2.8409817472,3.9926022538,1.0016086779
14,-2.8332167002,3.9910474829,1.0014067671
15,-2.7725392389,3.9815278047,1.0000414024
