a,x0,x1,x2
-12,9.861464,5.784562,1.063426
-11,5.285103756,5.121865025,1.039566867
-10,19.97812025,7.353631546,1.123351861
-9,-15.56737423,1.845720066,0.913033033
-8,-21.11730353,0.941101232,0.877022874
-7,3.661629596,5.090778333,1.045789646
-6,0.685884915,4.563956582,1.023439633
-5,-3.48390875,3.799725296,0.990192109
-4,-5.149765052,3.474460434,0.975410358
-3,-3.846185175,3.740419525,0.98784776
-2,-3.213777599,3.879481162,0.994655224
-1,-2.278142233,4.097198418,1.005661205
0,-2.216681041,4.112891134,1.006493925
1,-2.59457569,4.008826612,1.000769771
2,-2.267969266,4.110472438,1.006659393
3,-2.561840462,4.008610879,1.000515127
4,-2.523275765,4.024572171,1.001533778
5,-2.695396252,3.939896371,0.995880034
6,-2.720252509,3.923258815,0.994698192
7,-2.686496095,3.955830855,0.997133347
8,-2.682370857,3.966168476,0.997961366
9,-2.67695586,3.932901451,0.995136072
10,-2.668888615,3.924359209,0.994351715
11,-2.730736966,3.961607226,0.998012887
12,-2.736505261,3.96377234,0.998245798
13,-2.840981748,3.992602254,1.001608678
14,-2.833216701,3.991047483,1.001406767
15,-2.772539239,3.981527805,1.000041402
