a,x0,x1,x2
-15,0,0,0
-14,3.486147234920451e-06,-4.8806061288886306e-05,0.0006832848580444084
-13,1.4813893412429122e-05,-0.00019605733051648343,0.0025974193228829527
-12,1.7154303960988583e-05,-0.00022413320831461862,0.0029342089019530468
-11,2.4557333062757155e-05,-0.00030551959450793255,0.0038288390172354536
-10,2.602631382108495e-05,-0.00032019616360471264,0.003975434358471353
-9,3.0118935765489183e-05,-0.000356986537489503,0.004305999926246378
-8,3.077474980307668e-05,-0.0003622255418227983,0.0043478188056214565
-7,3.276613260396219e-05,-0.0003761428637636131,0.004444966746635819
-6,3.29836755162761e-05,-0.0003774458923371278,0.0044527581326033894
-5,3.315845450379411e-05,-0.0003783182950917482,0.00445710244784573
-4,3.3031221693122006e-05,-0.0003778101820938245,0.004455079572237132
-3,3.243881086162631e-05,-0.0003760354280672798,0.004449784003084984
-2,3.2294104810108644e-05,-0.00037574632514250736,0.004449209339128804
-1,3.180033177847809e-05,-0.00037525286159155295,0.00444871938157284
0,3.175071852794538e-05,-0.0003752528619022454,0.004448719384503654
1,3.195622690678887e-05,-0.000375047224366719,0.004448923560287959
2,3.2265352625465506e-05,-0.0003744280922262594,0.004450151922627611
3,3.405095834761115e-05,-0.0003690587299637717,0.004466119661558211
4,3.480305981973304e-05,-0.00036604014576124334,0.004478080752623692
5,3.890244528300387e-05,-0.0003454499799156006,0.004579999630629472
6,4.028803824328423e-05,-0.0003370877582367932,0.004629638849378939
7,4.767027731790595e-05,-0.0002850351644340971,0.0049899059269729335
8,4.9995921452051656e-05,-0.00026626429992446807,0.005138296806750769
9,6.11499902744959e-05,-0.00016480579789355038,0.006040115713742326
10,6.448242265858962e-05,-0.0001310589234910186,0.0063732426502967725
11,8.049559185869699e-05,4.770652542369604e-05,0.008313465424047248
12,8.512473665409256e-05,0.0001042228576278582,0.008982405944516943
13,0.00010652018442639153,0.000387975388036043,0.012619806789408742
14,0.00011253912604221777,0.0004742137285663005,0.013810245385155503
15,0.0001394889769486846,0.0008893731185917418,0.019950476677072275
