a,x0,x1,x2
-11,9.639144797,5.841001952,1.068305297
-10,24.04632048,8.030943279,1.150568041
-9,-14.07852171,2.108107961,0.923965862
-8,-20.21070713,1.104288585,0.883900502
-7,4.645646693,5.283812071,1.054238935
-6,1.374470584,4.702509535,1.029547536
-5,-3.250715109,3.852105633,0.992533514
-4,-4.98828017,3.51192045,0.977078943
-3,-3.768127926,3.761416887,0.988736185
-2,-3.147169859,3.898216524,0.995423616
-1,-2.247815823,4.107816549,1.006001297
0,-2.192547866,4.12194646,1.006749651
1,-2.585881947,4.013510535,1.000797084
2,-2.260958453,4.114728113,1.006650107
3,-2.559680829,4.011101701,1.000411528
4,-2.521680684,4.026839986,1.001414196
5,-2.694979243,3.94153694,0.995727285
6,-2.71994637,3.924818206,0.994541054
7,-2.686335306,3.957259009,0.996964446
8,-2.682213202,3.967589556,0.997791682
9,-2.676801473,3.934348456,0.994967879
10,-2.668748822,3.925825861,0.994184542
11,-2.730726225,3.963120266,0.997856564
12,-2.736551549,3.965303717,0.998092093
13,-2.841315121,3.994155089,1.001470117
14,-2.833646991,3.992624263,1.001270276
15,-2.773427829,3.983214269,0.999911565
