a,x0,x1,x2
-12,-6246.326748522452,-873.3748393355673,-28.748848079893516
-11,-511.43661795399385,-30.835185020904646,1.9968269721245164
-10,733.7729785851482,162.50429741683485,9.337427525267325
-9,911.9994375364354,190.55362594908433,10.413214943085283
-8,807.2042935691519,172.8839317265967,9.698987266696431
-7,494.22799827127824,117.19949761791484,7.357390988558048
-6,453.9008555497013,107.81795348530211,6.894058783725823
-5,446.2777105283755,223.12937400365902,15.449434481672009
-4,286.43333286489997,158.600243344935,11.601916579041951
-3,525.7213430303264,210.42276141122431,14.052159245815906
-2,475.3516584146242,162.72080205633802,10.810485628449378
-1,186.88613652946498,441.2105621374848,33.14110668220232
0,785.1264551886122,377.78276023718223,24.923412219477704
1,-780.9190620523907,631.8481304588638,52.96573836950002
2,1724.271511147079,-85.47737001095425,-14.984007676635734
3,11551.972212222045,-2780.179796252519,-272.72874281663184
4,2530.095376972062,-265.57464652850877,-33.11238065923257
5,2753.0789470171494,-331.7312150851032,-39.33359855274518
6,2041.1569781089402,-140.10975052249142,-20.936723786740853
7,2149.1088200528816,-170.7123331679773,-23.83361422415108
8,1798.7737767622195,-74.67628291332582,-14.66404750640147
9,1735.8826749491936,-58.74305578486385,-13.112706160613211
10,1631.8804769442418,-31.479157911499097,-10.48246273125957
11,1596.5330255602069,-22.52431753762925,-9.611925412753736
12,1536.5591433511056,-7.232764133513408,-8.127842259139648
13,1510.2846252668292,-0.6765934226696624,-7.488604462334487
14,1471.4203775391989,8.989961116830639,-6.545474340534313
15,1451.5588061032943,13.845999556670986,-6.06993312004548
