a,x0,x1,x2
-15,0,0,0
-14,0.003614858,-0.050608007,0.7085121
-13,-1.028272905,6.886533148,1.209273697
-12,35.2596054,10.53488202,1.27885823
-11,45.2772671,11.89485008,1.324303352
-10,54.92406601,13.43316478,1.385279285
-9,-14.19077927,2.096712512,0.924229557
-8,-23.61059486,0.451290594,0.853573343
-7,10.64331882,6.600395111,1.123644903
-6,4.770402335,5.478313431,1.071881785
-5,-2.738138914,3.992738219,1.001530542
-4,-5.032646344,3.505953697,0.977307013
-3,-3.584514366,3.827435274,0.993797109
-2,-2.886834782,3.995700336,1.002885697
-1,-2.05371945,4.209067667,1.014816367
0,-2.037728549,4.213613434,1.015084886
1,-2.561741368,4.051752327,1.00514046
2,-2.242419702,4.165428753,1.012550284
3,-2.581184429,4.028836248,1.003240146
4,-2.550780864,4.04409416,1.004349712
5,-2.710934798,3.943941379,0.996685439
6,-2.730041213,3.925328527,0.995154702
7,-2.712243088,3.958149828,0.998017577
8,-2.71384359,3.968351266,0.998983053
9,-2.686372227,3.932957819,0.99539419
10,-2.671945637,3.924336208,0.994433242
11,-2.761411031,3.96000086,0.998750985
12,-2.768080254,3.961784683,0.998992797
13,-2.893702186,3.98714509,1.002801609
14,-2.8822521,3.985463194,1.002510683
15,-2.804103136,3.976570465,1.000752161
