a,x0,x1,x2
-15,0,0,0
-14,0.003614857,-0.050608002,0.7085121
-13,-1.024924118,6.864019976,1.207522085
-12,6.145559325,5.658311064,1.082200718
-11,5.575943514,5.624176478,1.082801698
-10,19.71092391,7.436663445,1.137828463
-9,-16.12892307,2.057763291,0.940663999
-8,-25.73008066,0.417771454,0.872884564
-7,25.27724182,9.730363893,1.280138258
-6,1.819591973,4.904453559,1.04805641
-5,-6.574641684,3.060979887,0.954480386
-4,-10.49379512,2.048543414,0.895829863
-3,-2.914049343,4.17665256,1.028617189
-2,-1.431991015,4.693117801,1.067757303
-1,-1.26867575,4.75726713,1.073218997
0,-1.541406451,4.614181839,1.057147415
1,-2.510584499,3.997419518,0.974051639
2,-2.253487278,4.28111672,1.031772591
3,-2.374750207,4.020092684,0.960110701
4,-2.399709404,4.052175163,0.978460805
5,-2.325236489,4.022074176,0.944591499
6,-2.321926735,4.022223444,0.943273273
7,-2.41817035,4.004452089,0.986833785
8,-2.433120965,3.998933566,0.9968027
9,-2.411169836,4.009009077,0.976988328
10,-2.409026432,4.010258757,0.973905596
11,-2.422599286,4.001450176,0.999696199
12,-2.421267861,4.002427708,0.99613475
13,-2.424168968,4.000125023,1.005902718
14,-2.422198034,4.001835016,0.99728264
15,-2.421631421,4.002360867,0.994251378
