a,x0,x1,x2
-15,0,0,0
-14,0.003614858,-0.050608007,0.7085121
-13,-1.028269545,6.88651056,1.209271939
-12,35.10741565,10.50941767,1.2778325
-11,45.0328236,11.85604151,1.322799169
-10,54.78293898,13.41039501,1.384392295
-9,-14.18179095,2.100464269,0.924515807
-8,-23.61818551,0.452032504,0.85373344
-7,10.73088128,6.619360868,1.124614175
-6,4.807953568,5.487004883,1.072358418
-5,-2.745685236,3.991154051,1.001479416
-4,-5.051900802,3.501051357,0.977058772
-3,-3.586477192,3.827101706,0.993815253
-2,-2.884097867,3.997097527,1.003029303
-1,-2.049300753,4.211849241,1.015096172
0,-2.034264294,4.216151241,1.015352342
1,-2.561704164,4.05192315,1.005150747
2,-2.242472428,4.166860999,1.012771605
3,-2.580508896,4.028581195,1.003128498
4,-2.550397622,4.044026998,1.004290347
5,-2.705847572,3.943709117,0.996264132
6,-2.723578409,3.925288199,0.994649904
7,-2.708215363,3.95847356,0.997792432
8,-2.710965337,3.9685443,0.998860567
9,-2.679406965,3.934861752,0.994910386
10,-2.664037004,3.926938757,0.993834384
11,-2.758688274,3.959434778,0.998885351
12,-2.765248909,3.960902237,0.999163671
13,-2.886429886,3.980611061,1.003688381
14,-2.87363681,3.979218529,1.003260341
15,-2.798570516,3.973506699,1.000888012
