a,x0,x1,x2
-15,0,0,0
-14,3.63E-09,-5.09E-08,0.712071261
-13,3.60E-09,-5.06E-08,0.673452827
-12,3.58E-09,-5.05E-08,0.655122976
-11,3.53E-09,-5.02E-08,0.617571155
-10,3.49E-09,-5.00E-08,0.593826492
-9,3.30E-09,-4.91E-08,0.511268128
-8,2.98E-09,-4.78E-08,0.415641802
-7,2.97E-09,-4.77E-08,0.411903589
-6,1.75E-09,-4.38E-08,0.247219177
-5,-3.51E-10,-3.81E-08,0.074818987
-4,-8.96E-09,-1.89E-08,-0.307861409
-3,-2.54E-08,9.39E-09,-0.64985296
-2,-1.13E-07,1.15E-07,-1.285723011
-1,-1.40E-06,9.99E-07,-3.275618337
0,-1.90E-06,9.99E-07,-3.275618016
1,-1.37E-06,3.64E-06,0.554620726
2,-2.21E-06,3.64E-06,2.773350483
3,-2.07E-06,3.74E-06,1.997241858
4,-2.06E-06,3.75E-06,1.888096495
5,-2.05E-06,3.77E-06,1.6470871
6,-2.05E-06,3.77E-06,1.547882904
7,-2.05E-06,3.77E-06,1.516224893
8,-2.05E-06,3.77E-06,1.465060443
9,-2.05E-06,3.77E-06,1.390922006
10,-2.05E-06,3.77E-06,1.349834076
11,-2.05E-06,3.77E-06,1.344746302
12,-2.05E-06,3.77E-06,1.312235138
13,-2.05E-06,3.77E-06,1.299548095
14,-2.05E-06,3.77E-06,1.269919152
15,-2.05E-06,3.77E-06,1.250258813
