a,x0,x1,x2
-15,0,0,0
-14,0.003614854,-0.050607957,0.708512111
-13,-0.996167615,6.670696337,1.192476493
-12,0.147534725,4.588781891,1.03649128
-11,-0.108543492,4.721268668,1.047672003
-10,2.720183214,4.383485154,1.004959135
-9,-6.191846855,4.045015568,1.0371478
-8,-11.76466022,3.406626785,1.025209176
-7,23.19020999,9.01248846,1.226111534
-6,-8.013083427,2.90799655,0.954076233
-5,-4.121293806,3.807001381,1.000788116
-4,-14.30129036,0.999641728,0.830164153
-3,5.252576521,7.683595619,1.323052393
-2,1.681521876,6.052411822,1.165547217
-1,-2.397288642,3.300710629,0.775391074
0,-2.009250719,3.806338329,0.907587597
1,-2.14088027,3.492339474,0.721082142
2,-2.626650657,3.472885882,1.908693396
3,-2.456311922,3.574758742,1.078042
4,-2.460359821,3.569452256,1.146795151
5,-2.457192701,3.574916783,1.030193607
6,-2.457044069,3.575233796,1.019987938
7,-2.457358558,3.574439534,1.055713425
8,-2.457363638,3.5744247,1.05660329
9,-2.457236122,3.57484708,1.024047077
10,-2.457216102,3.574921256,1.01690089
11,-2.457264157,3.574724378,1.040077725
12,-2.457250466,3.574785836,1.03139626
13,-2.457259931,3.574739639,1.039107687
14,-2.457248248,3.57480124,1.02711161
15,-2.457244905,3.57482017,1.022858494
